Year,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue,财政收入稳健指数,EPU
2004,,870.0,4758,,870.0,1308.0,7498,,310579.0,,2224559.0,360048.0,,18519.0,14.14,5712.1,,,8281089.0,25.46495337995566,63.62929535
2005,6.5,,5147,,,,9460,,,,2505241.0,,,,17.2,6415.5,,,,26.533554778556663,113.7616425
2006,7.13,,6412,,,,10351,,,,2771266.0,,,,11.32,7468.6,,27159.0,,27.60215617715812,104.9783478
2007,8.12,,7761,21.27,,,11341,,,21.27,3322233.0,,,,14.56,9325.6,,34677.0,,28.67075757575958,86.16218567
2008,8.54,1648.0,7937,25.63,1648.0,3246.0,13181,4.5,1177129.0,25.63,3898541.0,837778.0,4.5,41784.0,17.97,10931.8,1937.0,36583.0,17463972.0,31.99,90.40479279
2009,9.6,2482.0,11282,27.89,2482.0,8075.0,17559,4.8,1382920.0,27.89,4479126.0,1144347.0,4.8,46433.0,23.26,12418.1,2039.0,37348.0,17674924.0,27.35,76.02841187
2010,10.39,,18063,32.31,,,21994,5.4,,32.31,5341118.0,,5.4,,35.66,15002.5,2144.0,41592.0,,25.11,56.08446884
2011,10.64,3847.0,21857,40.48,3847.0,11272.0,32325,5.7,1997710.0,40.48,6344839.0,1943993.0,5.7,75503.0,34.57,17917.7,2200.0,49201.0,31138914.0,30.77,78.75894928
2012,11.22,5400.0,30497,48.47,5400.0,14745.0,42773,6.5,2278341.0,48.47,,2381656.0,6.5,90280.0,50.09,20190.7,2301.0,55947.0,32911524.0,35.77,88.49289703
2013,12.16,7119.0,37511,60.62,7119.0,18896.0,53701,7.7,2656091.0,60.62,8228012.0,2791966.0,7.7,100200.0,44.69,22503.8,2435.0,63208.0,34400997.0,36.87,89.28373718
2014,12.06,9176.0,37857,67.4,9176.0,22078.0,58075,8.5,2846972.0,67.4,8928771.0,3153831.0,8.5,110892.0,39.19,24942.1,2513.0,64519.0,35117053.0,42.85,78.43706512
2015,12.17,12424.0,61621,76.6,12424.0,24916.0,83146,8.6,2973967.0,76.6,10028329.0,3469810.0,8.6,99180.0,52.14,26819.5,2508.0,76956.0,35255547.0,43.82,92.85424042
2016,11.8,18514.0,67142,80.28,18514.0,28208.0,130376,8.7,3516871.0,80.28,10473975.0,3882632.0,8.7,102250.0,43.22,29609.4,2438.0,79317.0,40526601.0,41.84,94.90132904
2017,11.9,24222.0,68304,99.44,24222.0,31433.0,128079,7.8,4234896.0,99.44,11390975.0,4487934.0,7.8,105533.0,75.46,33842.4,2352.0,91712.0,44766789.0,37.45,160.7241058
2018,12.52,29543.0,102622,115.25,29543.0,31529.0,166610,7.7,4966148.0,115.25,12547951.0,5249417.0,7.7,120723.0,84.52,38687.8,2355.0,103976.0,53008984.0,38.79,88.30829945366031
2019,12.84,34668.0,98955,133.41,34668.0,37196.0,153133,7.9,5806318.0,133.41,13429131.0,5985139.0,7.9,126089.0,139.59,42326.6,2577.0,118649.0,57893119.0,34.79,87.01167123340247
2020,13.05,44702.0,145928,149.44,44702.0,45774.0,174867,8.4,6787880.0,149.44,14160989.0,6669131.0,8.4,140850.0,163.54,43608.6,2866.0,128207.0,60975492.0,42.56257575757672,85.71504301314462
2021,13.09,45695.0,153814,155.11,45695.0,51551.0,160703,8.3,8210449.0,155.11,15320230.0,7716534.0,8.3,186328.0,196.8,49566.1,3023.0,139416.0,78221353.0,43.63117715617818,84.41841479288678
2022,13.74,55076.0,141536,153.0,55076.0,57792.0,163032,8.0,9211097.0,153.0,,8485871.0,8.0,193782.0,259.52,53109.9,3277.0,148080.0,77576517.0,44.69977855477919,83.12178657262893
