地区,undergraduate_enrollment,RD_effec_patent,invention_granted,tech_invest,patent,RD_apply_patent,invention_apply,st_people,new_product_fund,st_fund,edu_expense,RD_fund,tech_job,ftime_equ_personnel,tech_market_turnover,GDP,ave_students_enrolled,wage_tech,new_product_sales_revenue
北京市,12.04,7342,40888,183.07,7342.0,13041,77955,50.6,2135861,183.07,7373843,1648538.0,50.6,49829.0,1890.28,17188.8,5613,97658,34803252
天津市,7.82,5193,13982,60.17,5193.0,11889,38489,5.3,1848538,60.17,4136097,2107772.0,5.3,47828.0,169.38,8112.5,4329,91848,38311448
河北省,15.19,2601,11119,33.22,2601.0,5771,17595,10.0,1496755,33.22,8447882,1586189.0,10.0,51498.0,26.25,21384.7,2006,59318,18992289
山西省,8.81,1659,4974,27.17,1659.0,2848,12769,6.1,900093,27.17,5494903,895891.0,6.1,32476.0,22.48,10894.4,2202,37549,8609925
内蒙古自治区,5.52,467,2262,28.21,467.0,1250,3841,4.4,534739,28.21,5040005,701635.0,4.4,17645.0,22.67,9458.1,1920,45750,5188902
辽宁省,16.16,4207,19176,87.2,4207.0,8363,37102,13.9,2866543,87.2,7809413,2747063.0,13.9,47513.0,159.66,16354.9,2712,54741,29599589
吉林省,11.11,1006,4920,21.18,1006.0,2030,8196,6.8,709348,21.18,4293877,488723.0,6.8,17884.0,26.26,7734.6,2807,46102,24075631
黑龙江省,12.72,1532,12236,33.23,1532.0,2814,23432,12.2,745311,33.23,4838173,838042.0,12.2,39661.0,62.07,9935.0,2409,47545,5586813
上海市,8.73,12530,47960,218.5,12530.0,19365,80215,12.4,4476248,218.5,7106255,3437627.0,12.4,79147.0,480.75,20009.7,3556,120307,77721952
江苏省,24.05,26720,199814,213.4,26720.0,72763,348381,12.0,11824447,213.4,15882132,8998944.0,12.0,287447.0,333.43,48839.2,2824,70982,148421107
浙江省,14.24,18091,130190,143.9,18091.0,52207,177066,15.5,6014674,143.9,12069078,4799069.0,15.5,203904.0,71.9,31854.8,2218,64799,100493941
安徽省,13.89,5092,32681,77.03,5092.0,19214,48556,7.5,2363512,77.03,8172010,1628304.0,7.5,56275.0,65.03,16284.9,2007,43177,31826110
福建省,10.64,3847,21857,40.48,3847.0,11272,32325,5.7,1997710,40.48,6344839,1943993.0,5.7,75503.0,34.57,17917.7,2200,49201,31138914
江西省,11.38,975,5550,21.32,975.0,2363,9673,5.5,738567,21.32,6307866,769834.0,5.5,23969.0,34.19,11584.5,2212,37628,9418710
山东省,22.4,11207,58844,108.62,11207.0,27560,109599,10.8,6623255,108.62,13727939,7431254.0,10.8,180832.0,126.38,39064.9,2191,52518,111844081
河南省,20.39,4049,19259,56.59,4049.0,10186,34076,12.3,2053205,56.59,11821418,2137236.0,12.3,93833.0,38.76,26318.7,1901,39277,25501566
湖北省,21.1,5379,19035,44.19,5379.0,9893,42510,11.6,2435245,44.19,6844038,2107553.0,11.6,71281.0,125.69,19942.5,2991,48816,30994175
湖南省,15.4,7432,16064,41.96,7432.0,12808,29516,8.5,2089970,41.96,7987607,1817773.0,8.5,57478.0,35.39,18915.0,2054,41841,37595209
广东省,22.73,66453,128413,203.92,66453.0,72520,196272,18.6,10662949,203.92,18846365,8994412.0,18.6,346260.0,275.06,53072.8,1978,78743,143822736
广西壮族自治区,7.7,932,4402,28.25,932.0,2069,8106,7.6,740604,28.25,5938482,586791.0,7.6,20155.0,5.64,10299.9,1688,38626,12260904
海南省,2.4,379,765,9.83,379.0,386,1489,1.6,73969,9.83,1732237,57760.0,1.6,1587.0,3.46,2463.8,2079,37584,1350545
重庆市,10.17,2532,15525,25.04,2532.0,8121,32039,5.1,1073308,25.04,5039550,943975.0,5.1,27652.0,68.15,10161.2,2522,65560,30280328
四川省,17.38,5618,28446,45.75,5618.0,5919,49734,14.6,1485843,45.75,10244130,1044666.0,14.6,36839.0,67.83,21050.9,1904,63235,21003174
贵州省,5.76,990,3386,21.68,990.0,2034,8351,4.6,362492,21.68,4510531,275217.0,4.6,9564.0,13.65,5615.6,1254,34906,4442117
云南省,9.06,1208,4199,28.3,1208.0,1728,7150,6.4,390303,28.3,6582935,299279.0,6.4,10335.0,11.71,9523.1,1520,42284,3808209
西藏自治区,0.51,58,142,3.38,58.0,20,263,0.7,2776,3.38,826102,1637.0,0.7,22.0,,611.5,1446,58791,17728
陕西省,16.7,2464,11662,29.01,2464.0,4393,32227,14.4,1065457,29.01,6838342,966768.0,14.4,30829.0,215.37,12175.1,3378,56784,9657071
甘肃省,6.8,493,2383,13.22,493.0,1053,5287,5.0,273986,13.22,3608174,257916.0,5.0,9307.0,52.64,4816.9,2041,34475,5026884
青海省,0.8,87,538,3.76,87.0,168,732,2.7,34745,3.76,1552462,81965.0,2.7,1833.0,16.84,1370.4,1082,55466,86513
宁夏回族自治区,1.62,221,613,7.87,221.0,601,1079,1.3,120351,7.87,1313862,118879.0,1.3,3967.0,3.94,1931.8,1912,46198,1385912
新疆维吾尔自治区,3.43,325,2642,26.43,325.0,1426,4736,5.0,318627,26.43,4605867,223352.0,5.0,6723.0,4.38,6532.0,1521,45501,2561510
